case,daughter_A_previous_role,daughter_B_previous_role,resolved_LAD_source,resolved_LCX_source,assignment_changed,assignment_score_1,assignment_score_2,margin,evidence_votes,confidence,resolution_status,reason
1.label,LAD,LCX,,,False,-0.01563424089003501,0.01563424089003501,0.03126848178007002,2/8,0.140634240890035,unresolved_manual_review,only 2/8 independent votes support the winner; only 0/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.031 is below 0.160; winner score 0.016 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
2.label,LAD,LCX,,,False,0.1439128089994284,-0.1439128089994284,0.2878256179988568,5/8,0.4564128089994284,unresolved_manual_review,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
3.label,LAD,LCX,,,False,0.3911964900384018,-0.3911964900384018,0.7823929800768036,6/8,0.7661964900384017,unresolved_manual_review,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
4.label,LAD,LCX,,,False,0.03218758939649081,-0.03218758939649081,0.06437517879298162,7/8,0.4696875893964908,unresolved_manual_review,score margin 0.064 is below 0.160; winner score 0.032 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
6.label,LAD,LCX,,,False,0.133918368765153,-0.133918368765153,0.267836737530306,5/8,0.446418368765153,unresolved_manual_review,only 2/4 LAD-role measurements support the proposed LAD
9.label,LAD,LCX,,,False,-0.05515655905884799,0.05515655905884799,0.11031311811769598,2/8,0.18015655905884798,unresolved_manual_review,only 2/8 independent votes support the winner; only 0/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.110 is below 0.160; winner score 0.055 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
10.label,LAD,LCX,,,False,0.2527322475736264,-0.2527322475736264,0.5054644951472528,6/8,0.6277322475736264,unresolved_manual_review,only 2/4 LAD-role measurements support the proposed LAD
12.label,LAD,LCX,,,False,0.3026009878994394,-0.3026009878994394,0.6052019757988788,6/8,0.6776009878994393,unresolved_manual_review,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
13.label,LAD,LCX,,,False,0.01540651366820868,-0.01540651366820868,0.03081302733641736,5/8,0.32790651366820867,unresolved_manual_review,only 2/4 LCX-role measurements support the proposed LCX; score margin 0.031 is below 0.160; winner score 0.015 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
18.label,LAD,LCX,,,False,-0.056159991359592314,0.056159991359592314,0.11231998271918463,4/8,0.3061599913595923,unresolved_manual_review,only 4/8 independent votes support the winner; only 1/4 LAD-role measurements support the proposed LAD; score margin 0.112 is below 0.160; winner score 0.056 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
20.label,LAD,LCX,branch_a,branch_b,False,0.19025156223893191,-0.19025156223893191,0.38050312447786383,8/8,0.6902515622389319,resolved_existing_assignment,clear pairwise majority and coherent proposed LCX
21.label,LAD,LCX,,,False,-0.02188356909046807,0.02188356909046807,0.04376713818093614,4/8,0.27188356909046807,unresolved_manual_review,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.044 is below 0.160; winner score 0.022 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
22.label,LAD,LCX,,,False,0.01810973154329286,-0.01810973154329286,0.03621946308658572,7/8,0.4556097315432929,unresolved_manual_review,score margin 0.036 is below 0.160; winner score 0.018 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
23.label,LAD,LCX,,,False,0.04725742972720377,-0.04725742972720377,0.09451485945440755,3/8,0.23475742972720376,unresolved_manual_review,only 3/8 independent votes support the winner; only 0/4 LCX-role measurements support the proposed LCX; score margin 0.095 is below 0.160; winner score 0.047 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
24.label,LAD,LCX,,,False,0.02687648527330634,-0.02687648527330634,0.05375297054661268,4/8,0.2768764852733063,unresolved_manual_review,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.054 is below 0.160; winner score 0.027 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
25.label,LCX,LAD,,,False,-0.1702437755131443,0.1702437755131443,0.3404875510262886,4/8,0.4202437755131443,unresolved_manual_review,only 4/8 independent votes support the winner; only 0/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
26.label,LAD,LCX,,,False,0.011186480054623665,-0.011186480054623665,0.02237296010924733,6/8,0.38618648005462364,unresolved_manual_review,only 2/4 LCX-role measurements support the proposed LCX; score margin 0.022 is below 0.160; winner score 0.011 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
27.label,LAD,LCX,,,False,-0.10919815207382258,0.10919815207382258,0.21839630414764516,7/8,0.5466981520738226,unresolved_manual_review,proposed LCX lacks minimum independent coronary-plane coherence
28.label,LAD,LCX,,,False,0.19278505225509923,-0.19278505225509923,0.38557010451019846,5/8,0.5052850522550992,unresolved_manual_review,only 2/4 LAD-role measurements support the proposed LAD
29.label,LAD,LCX,,,False,-0.19819457107305444,0.19819457107305444,0.3963891421461089,6/8,0.5731945710730544,unresolved_manual_review,only 2/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
31.label,LAD,LCX,,,False,-0.01961585997932281,0.01961585997932281,0.03923171995864562,3/8,0.2071158599793228,unresolved_manual_review,only 3/8 independent votes support the winner; only 0/4 LAD-role measurements support the proposed LAD; score margin 0.039 is below 0.160; winner score 0.020 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
32.label,LAD,LCX,,,False,-0.06786679682396562,0.06786679682396562,0.13573359364793125,6/8,0.4428667968239656,unresolved_manual_review,only 2/4 LAD-role measurements support the proposed LAD; score margin 0.136 is below 0.160; winner score 0.068 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
33.label,LCX,LAD,,,False,-0.5135424943512554,0.5135424943512554,1.0270849887025109,7/8,0.9375,unresolved_manual_review,proposed LCX lacks minimum independent coronary-plane coherence
34.label,LAD,LCX,,,False,-0.007090379802936933,0.007090379802936933,0.014180759605873866,4/8,0.2570903798029369,unresolved_manual_review,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.014 is below 0.160; winner score 0.007 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
36.label,LAD,LCX,,,False,-0.1560030260815971,0.1560030260815971,0.3120060521631942,5/8,0.4685030260815971,unresolved_manual_review,only 1/4 LAD-role measurements support the proposed LAD
37.label,LAD,LCX,branch_a,branch_b,False,0.18869380976586186,-0.18869380976586186,0.37738761953172373,8/8,0.6886938097658619,resolved_existing_assignment,clear pairwise majority and coherent proposed LCX
42.label,LAD,LCX,,,False,-0.05745601965162743,0.05745601965162743,0.11491203930325486,4/8,0.30745601965162744,unresolved_manual_review,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.115 is below 0.160; winner score 0.057 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
43.label,LAD,LCX,,,False,-0.07107672662213563,0.07107672662213563,0.14215345324427126,5/8,0.3835767266221356,unresolved_manual_review,only 1/4 LAD-role measurements support the proposed LAD; score margin 0.142 is below 0.160; winner score 0.071 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
44.label,LAD,LCX,,,False,0.1370529407928697,-0.1370529407928697,0.2741058815857394,7/8,0.5745529407928697,unresolved_manual_review,proposed LCX lacks minimum independent coronary-plane coherence
45.label,LAD,LCX,,,False,-0.136712879313304,0.136712879313304,0.273425758626608,6/8,0.511712879313304,unresolved_manual_review,only 2/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
46.label,LAD,LCX,,,False,0.41559084365122806,-0.41559084365122806,0.8311816873024561,5/8,0.7280908436512281,unresolved_manual_review,only 1/4 LCX-role measurements support the proposed LCX
47.label,LAD,LCX,,,False,0.07365285221175336,-0.07365285221175336,0.1473057044235067,4/8,0.32365285221175333,unresolved_manual_review,only 4/8 independent votes support the winner; only 1/4 LCX-role measurements support the proposed LCX; score margin 0.147 is below 0.160; winner score 0.074 is below 0.080
48.label,LAD,LCX,,,False,0.0867921241100098,-0.0867921241100098,0.1735842482200196,7/8,0.5242921241100098,unresolved_manual_review,proposed LCX lacks minimum independent coronary-plane coherence
49.label,LAD,LCX,branch_a,branch_b,False,0.10761022275777299,-0.10761022275777299,0.21522044551554598,6/8,0.482610222757773,resolved_existing_assignment,clear pairwise majority and coherent proposed LCX
53.label,LAD,LCX,,,False,0.11658686516614442,-0.11658686516614442,0.23317373033228883,7/8,0.5540868651661444,unresolved_manual_review,proposed LCX lacks minimum independent coronary-plane coherence
55.label,LAD,LCX,,,False,0.12010016099024853,-0.12010016099024853,0.24020032198049707,5/8,0.43260016099024856,unresolved_manual_review,only 2/4 LAD-role measurements support the proposed LAD
56.label,LAD,LCX,,,False,0.16192900412247369,-0.16192900412247369,0.32385800824494737,6/8,0.5369290041224737,unresolved_manual_review,proposed LCX lacks minimum independent coronary-plane coherence
